Triangulation, Points, Blocks, Threads,
0.316,724,256,128,
0.2987,724,256,256,
0.2794,724,256,512,
0.2907,724,256,1024,
0.2856,724,512,128,
0.2805,724,512,256,
0.2885,724,512,512,
0.297,724,512,1024,
0.2882,724,1024,128,
0.3037,724,1024,256,
0.31,724,1024,512,
0.335,724,1024,1024,
0.4635,1024,256,128,
0.4804,1024,256,256,
0.472,1024,256,512,
0.4629,1024,256,1024,
0.4874,1024,512,128,
0.47,1024,512,256,
0.4685,1024,512,512,
0.4995,1024,512,1024,
0.4846,1024,1024,128,
0.498,1024,1024,256,
0.5365,1024,1024,512,
0.5699,1024,1024,1024,
0.9558,1448,256,128,
0.9826,1448,256,256,
0.9298,1448,256,512,
0.9115,1448,256,1024,
1.0133,1448,512,128,
0.9495,1448,512,256,
0.9364,1448,512,512,
0.9604,1448,512,1024,
0.9943,1448,1024,128,
1.0192,1448,1024,256,
1.0576,1448,1024,512,
1.1823,1448,1024,1024,
2.3502,2048,256,128,
2.4629,2048,256,256,
2.282,2048,256,512,
2.2405,2048,256,1024,
2.5532,2048,512,128,
2.378,2048,512,256,
2.2883,2048,512,512,
2.2894,2048,512,1024,
2.4606,2048,1024,128,
2.476,2048,1024,256,
2.5469,2048,1024,512,
2.7131,2048,1024,1024,
6.674,2896,256,128,
7.0534,2896,256,256,
6.4946,2896,256,512,
6.2929,2896,256,1024,
7.3751,2896,512,128,
6.6407,2896,512,256,
6.3781,2896,512,512,
6.3223,2896,512,1024,
6.9574,2896,1024,128,
6.9738,2896,1024,256,
6.993,2896,1024,512,
7.282,2896,1024,1024,
Triangulation, Points, Blocks, Threads,
20.9157,4096,256,128,
22.088,4096,256,256,
20.6759,4096,256,512,
19.6727,4096,256,1024,
22.9234,4096,512,128,
21.1902,4096,512,256,
20.0484,4096,512,512,
19.5484,4096,512,1024,
21.7238,4096,1024,128,
21.5799,4096,1024,256,
21.321,4096,1024,512,
21.8733,4096,1024,1024,
73.0703,5792,256,128,
78.011,5792,256,256,
72.9691,5792,256,512,
68.0309,5792,256,1024,
78.0243,5792,512,128,
73.6065,5792,512,256,
68.8643,5792,512,512,
66.6196,5792,512,1024,
74.693,5792,1024,128,
73.9683,5792,1024,256,
72.1395,5792,1024,512,
72.6932,5792,1024,1024,
265.3292,8192,256,128,
284.8195,8192,256,256,
265.7838,8192,256,512,
247.1193,8192,256,1024,
285.6666,8192,512,128,
266.2079,8192,512,256,
250.0246,8192,512,512,
240.101,8192,512,1024,
270.2775,8192,1024,128,
266.5243,8192,1024,256,
257.6891,8192,1024,512,
256.7906,8192,1024,1024,
506.5392,10000,512,1024,
170.9148,11585,512,1024,Im not sure why this occurred.
